id	title	description	status	created_at	updated_at	root_id	development_proposal_and_clarification	ball_park_estimate	impact_on_market	priority	argumentation_for_proposal	proposal_impact	next_steps	categories	planned_release_version
30	"CSUSE0017588
"	"It should be possible to select different time resolution on ""Time Series Data For Accounting Points"" report. At the moment report can be run only with one hour resolution. To be able to make consumption comparisions by daily or monthly level would be usefull.

"	3				"It should be possible to select different time resolution on ""Time Series Data For Accounting Points"" report. At the moment report can be run only with one hour resolution. To be able to make consumption comparisions by daily or monthly level would be usefull.

"	2	0	2			Tarkastetaan kustannusarvio	Mittaustiedonhallinta	
31	"CSUSE0016539
"	It should be possible to view balance contract history, e.g. grid contract history is visible under metering point/contract&product.	3				It should be possible to view balance contract history, e.g. grid contract history is visible under metering point/contract&product.	1	0	2				Sopimusprosessi	
32	"CSUSE0009450
"	Time series data would be sent to datahub with 1 Wh accuracy on accounting points with fuse size or equivalent electric power max. 3x63 A.  The instructions clarified for accuracy to be used for sending of data with different fuse sizes.	5				Time series data would be sent to datahub with 1 Wh accuracy on accounting points with fuse size or equivalent electric power max. 3x63 A.  The instructions clarified for accuracy to be used for sending of data with different fuse sizes.	0	0	2				Mittaustietoprosessi	2.1
33	"CHGUSE0000032759
"	"Virtual production units are composed within DH-122 and DH-311 processes:
- DH-122: 
	 New vPU is created when production type of an accounting point is updated if there is also a valid sales agreement on the same date. 
- DH-311
	 New vPU is created with the active production type on the start date of the sales agreement

At present possible chages in production type in the future or sales agreements starting later than the update of the accounting point are not taken into account. There have been cases that vPU is not composed in certain retrospective changes and it has not been possible to report that production to eSett without the vPU.

Possible changes in the production type (after the start date of the new sales agreement) or sales agreements starting later on in the future (after the update of the accounting point takes effect) should be taken into account. Creation of the virtual production unit should take those also into account and possible create multiple vPUs at once."	4				"Virtual production units are composed within DH-122 and DH-311 processes:
- DH-122: 
	 New vPU is created when production type of an accounting point is updated if there is also a valid sales agreement on the same date. 
- DH-311
	 New vPU is created with the active production type on the start date of the sales agreement

At present possible chages in production type in the future or sales agreements starting later than the update of the accounting point are not taken into account. There have been cases that vPU is not composed in certain retrospective changes and it has not been possible to report that production to eSett without the vPU.

Possible changes in the production type (after the start date of the new sales agreement) or sales agreements starting later on in the future (after the update of the accounting point takes effect) should be taken into account. Creation of the virtual production unit should take those also into account and possible create multiple vPUs at once."	1	0	2	"Eli on tilanteita, joissa tuotantoyksikköä ei generoidu ollenkaan ja siitä johtuen tietoa ei saada raportoitua eSett:lle, joten tämä on täten korjattava.

There is cases where production unit is not generated at all and that causes that information cannot be reported to the eSett. But this does not require changes to interface on the eSett site."	Ei  vaadi  muutoksia  rajapintoihin tms eSett:n puolella.		Käyttöpaikkaprosessi	2.3
34	"CHGUSE0000031589
"	"Dormant user report in GUI is now only accessible for MOP. 
Market party admins, would benefit from the report and it would make it easier for them to identify and manage Dormant user and through this make Datahub more secure.

Add system function RPT-SEC-DMT  to roles Security report and authorize these for DSO_Admin, DDQ_Admin and THP_admin "	4				"Dormant user report in GUI is now only accessible for MOP. 
Market party admins, would benefit from the report and it would make it easier for them to identify and manage Dormant user and through this make Datahub more secure.

Add system function RPT-SEC-DMT  to roles Security report and authorize these for DSO_Admin, DDQ_Admin and THP_admin "	1	0	2			"Tarkastetaan kustannusarvio
19.12.2023: Tuotteeseen tulevat parannus"	Roolitus	2.3
35	"CHGUSE0000031603
"	"The most urgent need in changing the personal identification system is related to ensuring that there are enough personal identification numbers in the future. 
From the beginning of 2023, new divider signs/letters will be introduced into the personal identity number for those born in the 20th and 21st centuries:
- For those born in the 21st century, letters starting from B, in addition to the current letter A (A, B, C, D, E, F, H, J, K, L, M).
- For those born in the 20th century, letters starting from Y, in addition to the current sign - (-, Y, X, W, V, U, T, S, R, P, N).

Datahub must accept the new divider signs/letters in the personal identification number.

In addition, there can be 'estate of deceased person' customers that have personal IDs for people born in the 19th century (sign '+' in the personal ID, e.g. DDMMYY+1234), and therefore '+' must also be accepted as a divider sign in the personal identification."	5				"The most urgent need in changing the personal identification system is related to ensuring that there are enough personal identification numbers in the future. 
From the beginning of 2023, new divider signs/letters will be introduced into the personal identity number for those born in the 20th and 21st centuries:
- For those born in the 21st century, letters starting from B, in addition to the current letter A (A, B, C, D, E, F, H, J, K, L, M).
- For those born in the 20th century, letters starting from Y, in addition to the current sign - (-, Y, X, W, V, U, T, S, R, P, N).

Datahub must accept the new divider signs/letters in the personal identification number.

In addition, there can be 'estate of deceased person' customers that have personal IDs for people born in the 19th century (sign '+' in the personal ID, e.g. DDMMYY+1234), and therefore '+' must also be accepted as a divider sign in the personal identification."	1	0	2	The new dividers can be issued both to newborn children but also the immigrants getting a finnish personal identification, which is why the change needs to be in affect from the beginning of year 2023.		Määrittelydokumentaation päivitys ja tarjouspyyntö järjestelmätoimittajalta.	Asiakastietoprosessi	2.0
36	"CSUSE0013988
"	Is there an idea how the sender can validate data transfer into datahub reliable? There is possibility (in the datahub portal, https://portaali.datahub.fi/) to examine in maximum 1000 rows that are sent on same time. E.g. 3.3.2022 at 16:44 is sent over 4000 invoice rows from which 1000 can be exported. Anyway the acknowledgment message comes back from datahub, thus that is one way to examine that messages has been received, but is that enough? Anyway the 1000 limit prevents to examine large message volumes.	3				Is there an idea how the sender can validate data transfer into datahub reliable? There is possibility (in the datahub portal, https://portaali.datahub.fi/) to examine in maximum 1000 rows that are sent on same time. E.g. 3.3.2022 at 16:44 is sent over 4000 invoice rows from which 1000 can be exported. Anyway the acknowledgment message comes back from datahub, thus that is one way to examine that messages has been received, but is that enough? Anyway the 1000 limit prevents to examine large message volumes.	?	0	2			Asia on edelleen ajankohtainen ja voitaisiin hoitaa raportilla. Ryhmästä tuotiin myös esiin, että raportti voitaisiin ajaa tietyn päivämäärän perusteella ja myös myyjälle olisi tälle käyttöä, näkisi ”näin paljon on lähetetty” eli kuinka paljon verkoittain tullut näitä tietoja.	Sanomahallinta	
37	"CSUSE0022178
"	"Open request of disconnection prevents the notification of connection.

Supplier request disconnection on accounting point XX on 30.5.2022. It was not possible on that time and the agreement ended on 31.5.2022. The accounting point had received new agreement staring from 6.6.2022. The disconnection was made on accounting points 2.6.2022 where there was no valid agreement and the accounting point was connected 6.6.2022 when new agreement started. It is not possible to report the connection to datahub as system gives error message that accounting point has open request for disconnection. It is not possible either report to supplier that disconnection has been made from the request of them as that is not the case. How to get that connection reported and correct status for connection on the accounting point. The balance settlement has changed to the supplier starting from 6.6.2022. "	3				"Open request of disconnection prevents the notification of connection.

Supplier request disconnection on accounting point XX on 30.5.2022. It was not possible on that time and the agreement ended on 31.5.2022. The accounting point had received new agreement staring from 6.6.2022. The disconnection was made on accounting points 2.6.2022 where there was no valid agreement and the accounting point was connected 6.6.2022 when new agreement started. It is not possible to report the connection to datahub as system gives error message that accounting point has open request for disconnection. It is not possible either report to supplier that disconnection has been made from the request of them as that is not the case. How to get that connection reported and correct status for connection on the accounting point. The balance settlement has changed to the supplier starting from 6.6.2022. "	0	0	2				Kytkentä/katkaisuprosessi	
38	"CSUSE0022467
"	"Control report for grid company for checking of the supplier information and agreement status.

Grid company requests control report that can be used to compare the agreement information in own system and datahub up to date and specially supplier information. Now the reminder of measurement data is the only way to check that is seen in measurement data system instead of customer information (time series is not reported because sales is not valid with our local sales company but is valid in datahub).

Prototype of that kind of report was available during the dress rehersial but not in the production system anymore."	3				"Control report for grid company for checking of the supplier information and agreement status.

Grid company requests control report that can be used to compare the agreement information in own system and datahub up to date and specially supplier information. Now the reminder of measurement data is the only way to check that is seen in measurement data system instead of customer information (time series is not reported because sales is not valid with our local sales company but is valid in datahub).

Prototype of that kind of report was available during the dress rehersial but not in the production system anymore."	1	0	2			Kehitystyöryhmässä todettiin, että asia on edelleen ajankohtainen ja verkkoyhtiöllä pitäisi olla enemmän näkyvyyttä myyntisopimusasioihin (esimerkiksi verkkosopimuksiin liittyvien myyntisopimusten tunnuksiin), jotta tietojen täsmäytys omaan järjestelmään olisi mahdollista. Verkkoyhtiölle tarpeellisista raporteista todettiin olevan avoinna myös muita kehitysehdotuksia, kuten #135, ja nämä olisi hyvä tuoda käsittelyyn kokonaisuutena samalla kertaa. 	Yleinen hallinta	
39	"CSUSE0022826
"	"Limitation of unnecessary customer data discrepancies with data validations for data fields  according to the data standard and Titta data migration.

Examples for different types of data and daily number of information:

1. Phone number is same in market party system and datahub but in datahub without the contry code (+358501234567/0501234567). According to the data standard phone number's allowed in format is ITU-T E.164 (+358501234567). Unnecessary messages because of this daily about ten.

2. Customer house letter ""AS"" in our system ""as"". That has several variations and causes about ten messages daily.

3. Capital letters written data: end customer name is same in market party system and datahub but the one coming from datahub is written with capital letters, e.g. DONALD DUCK, in market party system Donald Duck. Also in the street names with capital letters.

4. Foreign addresses; Titta's validation for street name field had full address without postal number and post office information. Street number got zero (0). Now the address updates can give what ever.

Datahub 1.0 commissioning project with Titta validated the delivered data and market parties used a lot of time to make data correct. Now there is a big worry that data quality goes down and the big effort done the go-live is lost. The market party systems work differently, some system do not validate anything and some systems use e.g. robotics."	3				"Limitation of unnecessary customer data discrepancies with data validations for data fields  according to the data standard and Titta data migration.

Examples for different types of data and daily number of information:

1. Phone number is same in market party system and datahub but in datahub without the contry code (+358501234567/0501234567). According to the data standard phone number's allowed in format is ITU-T E.164 (+358501234567). Unnecessary messages because of this daily about ten.

2. Customer house letter ""AS"" in our system ""as"". That has several variations and causes about ten messages daily.

3. Capital letters written data: end customer name is same in market party system and datahub but the one coming from datahub is written with capital letters, e.g. DONALD DUCK, in market party system Donald Duck. Also in the street names with capital letters.

4. Foreign addresses; Titta's validation for street name field had full address without postal number and post office information. Street number got zero (0). Now the address updates can give what ever.

Datahub 1.0 commissioning project with Titta validated the delivered data and market parties used a lot of time to make data correct. Now there is a big worry that data quality goes down and the big effort done the go-live is lost. The market party systems work differently, some system do not validate anything and some systems use e.g. robotics."	1	0	2			Ohjeistuksesta tarkistetaan nollan käyttäminen talonumerokentässä. Muuten ei toteuta uusia tarkastuksia	Asiakastietoprosessi	
40	"CSUSE0023507
"	"Development of the email sent to the previous supplier.

The email content (the one sent to the previous supplier) is missleading if new (supplier that notifies the retrospective sales agreement) supplier has notified several retrospective agreement to the datahub. There can be many of these and always those require additional explanation that ""ignore this email contenct, your agreement has been ended in real"".

E.g. message: ""Notified sales agreement start date DD on accounting point X cannot be created because of validation error. Sales contract Y continues unchanged on the accounting point."" But the sales agreement is not valid on the user interface. Incorrect information?
"	4				"Development of the email sent to the previous supplier.

The email content (the one sent to the previous supplier) is missleading if new (supplier that notifies the retrospective sales agreement) supplier has notified several retrospective agreement to the datahub. There can be many of these and always those require additional explanation that ""ignore this email contenct, your agreement has been ended in real"".

E.g. message: ""Notified sales agreement start date DD on accounting point X cannot be created because of validation error. Sales contract Y continues unchanged on the accounting point."" But the sales agreement is not valid on the user interface. Incorrect information?
"	1	0	1				Sopimusprosessi	2.4
41	"CSUSE0024260
"	"Customer merge with VAT number within the market party's own account.

It shall be possible to do custome merge also for end customers with VAT number (meaning custtomer type for companyt AB01). There comes a lot of these ind of tickets and the only way to fix the situation is that market parties cancel the contract and notify is again. As customer merge is possible for end customer, it shall be possible for companies as well.

(E.g. end customer XXX_YYY and house hold company ZZZZ shall be merged under market party account to the VAT number TTTTT.)."	4				"Customer merge with VAT number within the market party's own account.

It shall be possible to do custome merge also for end customers with VAT number (meaning custtomer type for companyt AB01). There comes a lot of these ind of tickets and the only way to fix the situation is that market parties cancel the contract and notify is again. As customer merge is possible for end customer, it shall be possible for companies as well.

(E.g. end customer XXX_YYY and house hold company ZZZZ shall be merged under market party account to the VAT number TTTTT.)."	1	1	2				Asiakastietoprosessi	2.4
42	"CSUSE0024435
"	"Can datahub be changed in ""under contraction"" states connect? E.g. contract start date is changed only if accounting point has been under construction before accounting point was changed to under construction state and the state change to conneced would not change agreement start date. If the agreement has become valid after the accounting point has been changed to the under construction state, agreement start date can be changes as current rules say. Is the ruling factor the agreement notification date or contract start date?"	3				"Can datahub be changed in ""under contraction"" states connect? E.g. contract start date is changed only if accounting point has been under construction before accounting point was changed to under construction state and the state change to conneced would not change agreement start date. If the agreement has become valid after the accounting point has been changed to the under construction state, agreement start date can be changes as current rules say. Is the ruling factor the agreement notification date or contract start date?"	?	?	TU			Edistetään vaihtoehtoa 2 (#57)	Sopimusprosessi	
43	"CSUSE0024674
"	The end customer has valid grid agreement at the moment in two accounting points and we have sales agreement to one of those. The other accounting point has another supplier.  	3				The end customer has valid grid agreement at the moment in two accounting points and we have sales agreement to one of those. The other accounting point has another supplier.  	2	?	1			Kehitysehdotuksessa oli mainittu monta asiaa, joista osaan on otettu kantaa asiakastiedon laadun parantamiseksi tehdyn työn (ohjeistuksen parannus ja uudet tarkastussäännöt) myötä. Kehitystyöryhmässä päätettiin, että pidetään ehdotus vielä listalla ja selvitetään sen nostajalta, onko heillä alkuperäiseen yhteydenottoon liittyen vielä ajankohtaisia kehitettäviä asioita. 	Asiakastietoprosessi	
44	"CSUSE0024715
"	"Can you add validation check for connect requests by supplier: connect request cannot be sent if there has not been sent disconnect request for the account point.

E.g. accounting point XXX disconnect request has arrived on earlier day that there is now disconnection planned to happen. There is also available connect requests even there is no disconnect requests. E.g. XXX. And there comes e.g. in move cases disconnect requests from supplier even there is no disconnect planned to happen at all.

Issues is that events remain open in datahub for us because we cannot remove them by ourselves."	3				"Can you add validation check for connect requests by supplier: connect request cannot be sent if there has not been sent disconnect request for the account point.

E.g. accounting point XXX disconnect request has arrived on earlier day that there is now disconnection planned to happen. There is also available connect requests even there is no disconnect requests. E.g. XXX. And there comes e.g. in move cases disconnect requests from supplier even there is no disconnect planned to happen at all.

Issues is that events remain open in datahub for us because we cannot remove them by ourselves."	1	0	2			Todettiin, että ongelmallisia tapauksia tulee, kun esimerkiksi myyjät lähettävät muuton yhteydessä virheellisesti erillisen kytkentäpyynnön, mutta ryhmän näkemyksen mukaan määrät ovat hyvin pieniä. Validointisäännön rakentaminen ei ole yksinkertainen ratkaisu, sillä esimerkiksi myyjänvaihdossa uuden myyjän voi tarvita lähettää kytkentäpyyntö, eikä tätä tällöin edellä katkaisupyyntö. Päätettiin selvittää vielä tiketin nostajalta, onko ehdotus edelleen ajankohtainen ja kuinka suuresta ongelmasta on kyse.  	Kytkentä/katkaisuprosessi	
45	"CSUSE0024790
"	"The cancelled agreements to the DSO's accounting point history.

It would be good if supplier's cancelled agreements could be visible on e.g. accounting point history information. The fixing situations cause extra harm and the cancelled agreements visibility would help in finding out the issues."	3				"The cancelled agreements to the DSO's accounting point history.

It would be good if supplier's cancelled agreements could be visible on e.g. accounting point history information. The fixing situations cause extra harm and the cancelled agreements visibility would help in finding out the issues."	2	0	1			Tarkastetaan kustannusarvio ja uudestaan käsittelyyn, mikäli kustannus poikkeaa alustavasta arviosta.	Sopimusprosessi	
46	"CSUSE0025402
"	"Unnecessary grid agreement confirmations to be removed automatically from open events when supplier cancels the agreement.

(E.g. can you remove open DH-312-1 event on accounting point XX on day 29.3.2022. Supplier has cancelled sales agreement starting on the 30.3. Sales company's delivery has started on 30.3.2022. Isn't there rule to remove unnecessary grid agreement confirmations from open events when supplier cancels the agreement? If not, it would be good to have one, so that those will be removed automatically and those do not remain unnecessarily in grid company's open events.) 
"	6				"Unnecessary grid agreement confirmations to be removed automatically from open events when supplier cancels the agreement.

(E.g. can you remove open DH-312-1 event on accounting point XX on day 29.3.2022. Supplier has cancelled sales agreement starting on the 30.3. Sales company's delivery has started on 30.3.2022. Isn't there rule to remove unnecessary grid agreement confirmations from open events when supplier cancels the agreement? If not, it would be good to have one, so that those will be removed automatically and those do not remain unnecessarily in grid company's open events.) 
"	1+2	0	2	Myyntisopimuksen peruutusprosessin DH-341 tulisi jo tällä hetkellä toimia niin, että kun myyjä peruu sopimuksen, jonka vastaavaa verkkosopimusta ei ole vielä vahvistettu, vahvistamaton verkkosopimus peruutetaan automaattisesti ja tähän liittyvät avoin tapahtuma sulkeutuu. Datahubissa on ilmennyt muutamia tapauksia, joissa prosessi ei ole toiminut oikein ja näiden osalta korjaustarpeiden selvitys on menossa. 		Korjataan kuitenkin yksittäiset tunnistetut virhetilanteet.	Sopimusprosessi	
47	"CSUSE0025793
"	"DSO needs to get information about the ending of a sales agreement if a supplier has first cancelled the agreement ending and after that ends the agreement again for same day.

(E.g. from accouting point XXX we received information that the 24.6.2022 00:00 ending date is cancelled. Now it seems that the sales agreement has ended on that day anyway. Has there been a new ending after the cancellation of ending which has not been notified to the DSO?"	3				"DSO needs to get information about the ending of a sales agreement if a supplier has first cancelled the agreement ending and after that ends the agreement again for same day.

(E.g. from accouting point XXX we received information that the 24.6.2022 00:00 ending date is cancelled. Now it seems that the sales agreement has ended on that day anyway. Has there been a new ending after the cancellation of ending which has not been notified to the DSO?"	1	0	2				Sopimusprosessi	
48	"CSUSE0026373
"	"Service provider cannot see supplier's agreement data, even as end customer's electricity purchase responbility service provider we should have full access to agreement data. This causes cases where we need to request agreement basic data from supplier by email, as if agreement is fixed term and cancellation rules.

Agreement information shall be released also to third parties. Another alternative is that datahub's market party authorization shall be developed so that supplier can give authorization to third party for the agreements' data."	3				"Service provider cannot see supplier's agreement data, even as end customer's electricity purchase responbility service provider we should have full access to agreement data. This causes cases where we need to request agreement basic data from supplier by email, as if agreement is fixed term and cancellation rules.

Agreement information shall be released also to third parties. Another alternative is that datahub's market party authorization shall be developed so that supplier can give authorization to third party for the agreements' data."	2/3	1	2		"Sopimustietojen näyttämiseen liittyy vahvasti se, että sopimus on aina kahden osapuolen välinen asia, asiakkaan ja myyjän tai jakeluverkonhaltijan. Tämän vuoksi on aikanaan prosesseja määritellessä jätetty valtuutettavista tiedoista pois nuo sopimustiedot. Jos tätä lähdetään muuttamaan, on myös loppuasiakkaiden tiedostettava, että valtuutuksella palveluntarjoaja pääsee tähän tietoon kiinni. Osapuolivaltuutuksessa on se huono puoli, että sillä valtuutetaan osapuoli kokonaan tiettyyn prosessiin ja tiettyyn tietoon. Sillä ei voida erotella esim. asiakaskohtaisesti, että mitä asiakkaita tämä osapuolivaltuutus koskee. Näkisin, että tulisi olla lisäksi mekanismi, jolla varmistetaan vielä se, että asiakas on myös erikseen valtuuttanut tähän tietoon muiden tietojensa lisäksi.
Mutta tämä otetaan käsittelyyn ja katsotaan voidaanko tähän löytää ratkaisu, jolla teidänkin tarpeet tiedon saannin osalta voitaisiin toteuttaa."		Valtuutusprosessi	
49	"CSUSE0026496
"	"Grid needs to be able to handle ending event

Grid cannot handle ending event because the agreement is ended because of new move-in. In case there is new move-in notified into the accounting point, then the agreement would be revert incorrectly valid even there has been made notification with ending event to the accounting point separately.

E.g. We request to remove accounting point XXX's open transaction from the grid agreement YYY about ending for time 30.8.2022. Grid cannot handle ending event because is has ended because of new move-in. Shall the agreement revert valid if new move-in is cancelled?"	4				"Grid needs to be able to handle ending event

Grid cannot handle ending event because the agreement is ended because of new move-in. In case there is new move-in notified into the accounting point, then the agreement would be revert incorrectly valid even there has been made notification with ending event to the accounting point separately.

E.g. We request to remove accounting point XXX's open transaction from the grid agreement YYY about ending for time 30.8.2022. Grid cannot handle ending event because is has ended because of new move-in. Shall the agreement revert valid if new move-in is cancelled?"	1+2	0	2	Aiheuttaa nykyisellään paljon käsin työtä myös datahub operaattorille.		"Viedään alityöryhmän käsittelyyn.
13.4.2023: Alityöryhmän suositus on että toteutetaan."	Sopimusprosessi	2.3
50	"CSUSE0026532
"	"Possibility to have fuse size 10xZZZZ

It is not possible to add new fuse sizes (10x3x100 and 10x3x1250) into the customer information system as datahub accepts only the fuse size with one number in the name e.g. 9xZZZ. The power of accounting point connections increase and the new fuse sizes are necessary. Can datahub accept fuse sizes starting with ""10xZZZ""? "	3				"Possibility to have fuse size 10xZZZZ

It is not possible to add new fuse sizes (10x3x100 and 10x3x1250) into the customer information system as datahub accepts only the fuse size with one number in the name e.g. 9xZZZ. The power of accounting point connections increase and the new fuse sizes are necessary. Can datahub accept fuse sizes starting with ""10xZZZ""? "	1	1	1			Selvitettävä tarkemmin tarvetta/ratkaisua ja tuodaan uudestaan kehitystyöryhmään.	Käyttöpaikkaprosessi	
51	"CSUSE0026678
"	"Datahub to validate personal id/name information match.

We are receiving weekly data privacy notifications that customer name informations have been changed incorrect because of update from datahub. The root cause is incorrect DH -112 (end customer personal id and name do not match) or new agreement has been made with incorrect name/personal id combination. "	3				"Datahub to validate personal id/name information match.

We are receiving weekly data privacy notifications that customer name informations have been changed incorrect because of update from datahub. The root cause is incorrect DH -112 (end customer personal id and name do not match) or new agreement has been made with incorrect name/personal id combination. "			1	Kun väestötietojärjestelmään lakiin on vast' ikään lisätty (eli muutaman vuoden sisällä) erityinen säännös 31 a § tietojen luovuttamisesta sähköalan yrityksille siten, että tietoihin on oikeutettu nimenomaan myyjät ja jakeluverkon haltijat, niin ei voida tulkita tuota laajentavasti niin, että myös Datahubilla olisi oikeus saada tietoja suoraan VTJ:stä. Varsinkin kun otetaan huomioon, että tuo lisäys lakiin on tehty datahubia koskevan lainsäädännön yhteydessä (HE 144/2018 vp: https://www.eduskunta.fi/FI/vaski/HallituksenEsitys/Sivut/HE_144+2018.aspx ). Jos Datahubille olisi haluttu antaa myös oikeus saada tietoja VTJ:stä, olisi lainsäätäjän tullut mainita se tässä samassa pykälässä.		Selvitetään datahubin oikeutta VTJ:stä	Asiakastietoprosessi	
52	"INCUSE0000061289
"	"There needs to be cured the problem with 
-interpreting the reason for agreement start on the accounting point and 
-possibility for the same DDQ to update new SAG without EC.AGR. 215  (reason for agreement start interpreted incorrectly?)
There is a valid grid agreement for the customer whose new sales agreement is being rejected (because DSO has not cancelled the grid agreement just yet) but the valid sales agreement on the ACP is for completely different customer. 

Submitting a new agreement fails incorrectly because of validation rule EC.AGR.215 (reason for agreement start interpreted incorrectly?)
Tested in SAT01, version 1.9.0. Found this problem when re-testing PTASK0010150. 
Test case simulates situation where customer wants to postpone the start date of the agreement. 
In these situations it's quite common that the supplier cancels the original agreement and submits a new agreement for the same customer with different start date before DSO reacts to the cancellation 

1. I created a new accounting point XXXXXXXXXXXXX and submitted a fixed term agreement for customer YYYYYYYYY starting from 3.7. Grid agreement was also confirmed. 
2. Then I submitted a new agreement for different supplier and different customer (customer YYYYYYYYC) starting from 1.8. Agreement was accepted because it is a move in and corresponding grid agreement was also confirmed. 
3. I cancelled the later sales agreement (customer YYYYYYYYYC's agreement) with cancellation reason AR02. Corresponding grid agreement was not cancelled before the next step. 
4. I tried to submit a new sales agreement for the same customer (customer YYYYYYYYC) starting from 1.9.  Agreement is rejected because of the validation rule EC.AGR.215 (If an Accounting Point has a valid fixed-term Sales Agreement (on Start of Occurrence) where the customer type is ""Consumer"" and the latest fixed term period is less than or equal to 2 years, then a Change of Supplier cannot be reported). 

Rejection makes no sense because the agreement that is rejected has completely different customer than on the agreement on step 1. See attachment ""Agreement rejection"" for error code received when testing and attachment ""sales agreement"" for current sales agreement's information. "	3				"There needs to be cured the problem with 
-interpreting the reason for agreement start on the accounting point and 
-possibility for the same DDQ to update new SAG without EC.AGR. 215  (reason for agreement start interpreted incorrectly?)
There is a valid grid agreement for the customer whose new sales agreement is being rejected (because DSO has not cancelled the grid agreement just yet) but the valid sales agreement on the ACP is for completely different customer. 

Submitting a new agreement fails incorrectly because of validation rule EC.AGR.215 (reason for agreement start interpreted incorrectly?)
Tested in SAT01, version 1.9.0. Found this problem when re-testing PTASK0010150. 
Test case simulates situation where customer wants to postpone the start date of the agreement. 
In these situations it's quite common that the supplier cancels the original agreement and submits a new agreement for the same customer with different start date before DSO reacts to the cancellation 

1. I created a new accounting point XXXXXXXXXXXXX and submitted a fixed term agreement for customer YYYYYYYYY starting from 3.7. Grid agreement was also confirmed. 
2. Then I submitted a new agreement for different supplier and different customer (customer YYYYYYYYC) starting from 1.8. Agreement was accepted because it is a move in and corresponding grid agreement was also confirmed. 
3. I cancelled the later sales agreement (customer YYYYYYYYYC's agreement) with cancellation reason AR02. Corresponding grid agreement was not cancelled before the next step. 
4. I tried to submit a new sales agreement for the same customer (customer YYYYYYYYC) starting from 1.9.  Agreement is rejected because of the validation rule EC.AGR.215 (If an Accounting Point has a valid fixed-term Sales Agreement (on Start of Occurrence) where the customer type is ""Consumer"" and the latest fixed term period is less than or equal to 2 years, then a Change of Supplier cannot be reported). 

Rejection makes no sense because the agreement that is rejected has completely different customer than on the agreement on step 1. See attachment ""Agreement rejection"" for error code received when testing and attachment ""sales agreement"" for current sales agreement's information. "	?	0	2				Sopimusprosessi	
53	CSUSE0016057	"Datahub accounting point internal net calculation:
We have accounting points that have production and consumption accounting points on different end customers name. That is customer wish and Energy Industry has confirmed that it is possible. In these kind of cases customer does not want to have net calculation. How should it work? Is the grid company going to inform those  anyway as parallel accounting points? Grid company does not necessarily know when new production accounting point appears that it will not have same customer as on the consumption accounting point. How the supplier can get separate time series for production and consumption? How supplier should act? Documentation did not answer on that. Only in energy community case ""no netting"" is allowed on certain cases? E.g. in which case grid can choose (DH-122-2/DH-122-3) ""no netting""? Only in case of energy community?

Supplier DH-124 event is not mentioned in the 2.0 documentation, thus energy community or netting data is not a part of supplier message?

I remember that at the moment supplier gets 3 time series, production, consumption and possible netting and can choose, is this going to change in 2.0? We have also customers that have agreement for both production and concumption accounting point, but do not want to have netting. There is also customers that want to made agreement only for production. How netting works on those cases or isn't it possible to made those kind of agreements?"	6				"Datahub accounting point internal net calculation:
We have accounting points that have production and consumption accounting points on different end customers name. That is customer wish and Energy Industry has confirmed that it is possible. In these kind of cases customer does not want to have net calculation. How should it work? Is the grid company going to inform those  anyway as parallel accounting points? Grid company does not necessarily know when new production accounting point appears that it will not have same customer as on the consumption accounting point. How the supplier can get separate time series for production and consumption? How supplier should act? Documentation did not answer on that. Only in energy community case ""no netting"" is allowed on certain cases? E.g. in which case grid can choose (DH-122-2/DH-122-3) ""no netting""? Only in case of energy community?

Supplier DH-124 event is not mentioned in the 2.0 documentation, thus energy community or netting data is not a part of supplier message?

I remember that at the moment supplier gets 3 time series, production, consumption and possible netting and can choose, is this going to change in 2.0? We have also customers that have agreement for both production and concumption accounting point, but do not want to have netting. There is also customers that want to made agreement only for production. How netting works on those cases or isn't it possible to made those kind of agreements?"			2	"Verkko voi halutessaan poistaa näiden kohteiden osalta rinnakkaisuuden, jolloin tuota netotusta ei tehdä. Toki tämä vaatisi sen, että verkolla on tieto siitä että näiden käyttöpaikkojen osalta netotusta ei haluta. Ainakaan toistaiseksi datahub ei tue tapahtumaa jolla myyjä voisi tämän ilmoittaa, joten tätä pitää verkoilta erikseen pyytää olemalla suoraan niihin yhteydessä.

Verkko ei voi itse ilmoittaa tuota ""ei netotusta"" -tilaa vaan datahub päättelee tuon tilan käyttöpaikan rinnakkaisuuden ja tuotantokäyttöpaikkaan liitetyn tuotantolaitteen maksimitehon (pientuotantolaitteiden yhteenlaskettu maksimiteho alle 100kVA) perusteella. Eli verkko ei siis tuota netotustilaa datahubiin ilmoita.

Myyjät eivät tosiaan yhteisöihin tai netotukseen liittyen ilmoita datahubiin tietoja, vaan nämä ovat verkkojen hallitsemia tietoja. Myyjä saa nämä verkon tekemät muutokset käyttöpaikkatietojen tilapäivityksinä (DH-122-2).

Tällä hetkellä datahub ei laske netotusta, eli datahubista tulee yksi aikasarja per käyttöpaikka. Jatkossa myyjä saa sekä mitatun (DH-211) sekä mahdollisen netotetun (DH-231) ja/tai energiayhteisölaskennan (DH-241) tulokset."		Kehitysehdotukselle ei nähdä tarvetta, jätetään ehdotus vielä mukaan tauolle listalle, jotta tähän voidaan tarvittaessa palata myöhemmin.	Laskennat	
